symmetry,longest_ratio,num_pixels_ratio,red_min,red_max,red_mean,red_median,red_std,green_min,green_max,green_mean,green_median,green_std,blue_min,blue_max,blue_mean,blue_median,blue_std,ecc,campactness,kurt,skewness
0.6950575802280772,0.0,0.0024760138888888887,5.0,208.0,68.08574489687165,56.0,47.955398851745045,3.0,199.0,54.88274724719952,37.0,45.31119677847598,0.0,193.0,39.89196905869088,24.0,36.25074695745675,0.3920193886737716,332.45429977913517,415.81081056783216,19.20806852960367
0.8336646011146186,0.0,0.002851,2.0,248.0,63.786497914961615,55.0,42.153507582366785,2.0,251.0,52.07965041505904,34.0,42.86612366914757,0.0,244.0,35.735146537277366,19.0,34.61711714803009,0.5959041967655176,316.78023843809024,330.09033155178616,17.303837221658572
1.5847727894235575,0.0,0.007364375,3.0,255.0,107.17633313530793,114.0,58.77135873718156,0.0,255.0,87.79470989278339,86.0,60.05760424323768,0.0,255.0,63.38304336756344,52.0,54.823595689308156,0.2402948248322144,220.18348324611821,95.48653563706108,9.429776593788041
1.9891057419185647,0.0,0.004395791666666667,5.0,219.0,87.58824254258334,88.0,46.32258744701816,3.0,213.0,71.03185180270272,61.0,46.08575993578402,0.0,201.0,50.43253490554413,36.0,37.445620697219006,0.7354337127760939,357.68821494280536,155.355811568857,12.064838358528712
1.265981968711213,0.0,0.003054875,6.0,255.0,123.1770030597724,134.0,62.355944159380286,0.0,250.0,100.89796363735559,91.0,63.029354606891445,0.0,245.0,80.94616982873458,63.0,60.62496157686189,0.6505991203519659,239.8819853606076,203.55472198344305,13.915533112616927
1.989436917269936,0.0,0.0019722777777777777,7.0,201.0,100.47562040505902,109.0,49.63504030114972,4.0,199.0,84.3832779358328,78.0,51.36793580317763,0.0,204.0,68.36625024647194,55.0,48.982371333055475,0.7644701399288018,188.36867161996966,316.0716197886447,17.277534365889174
2.0,0.0,0.00188625,11.0,238.0,91.57896325749209,87.0,41.37874968559628,9.0,234.0,72.75433325970106,70.0,36.76008197680118,4.0,223.0,50.997989838745305,42.0,34.73129526181651,0.9001156837510131,196.61065296265883,413.6009418822577,18.821637457206553
2.0,0.0,0.0024846944444444443,4.0,168.0,55.60429406701025,47.0,35.66732309580311,4.0,171.0,43.240164786638196,31.0,35.56519093882558,3.0,183.0,36.929926550324765,24.0,37.34231347870392,0.8756020030979668,222.53554089492422,520.105458250468,20.90335728614782
1.4987093861771208,0.0,0.0023998055555555556,6.0,255.0,87.62007338557522,93.0,52.732799317952306,3.0,255.0,71.39061613788154,64.0,51.894715129430246,0.0,254.0,68.25091731969026,57.0,54.63180011861349,0.5133158962568927,237.43586792241913,291.35268023721704,16.514610957618125
1.363679801902308,0.0,0.005261152777777778,4.0,255.0,82.97670029012441,80.0,52.421580903076965,0.0,255.0,63.63256362805997,48.0,48.94095558910766,0.0,255.0,60.44038193995296,45.0,50.82663964478578,0.4728183257970334,159.96578305464257,147.18983896193257,11.632354473673033
1.5905998006981679,0.0,0.004543638888888889,12.0,255.0,120.44338849796112,124.0,45.803679936673696,2.0,246.0,89.04904292325656,90.0,42.44465622019857,0.0,255.0,82.30172524469496,80.0,46.70092122044808,0.6147137961235131,127.99108666071974,125.09025459744436,10.740831459952984
1.1009926968186585,0.0,0.006013361111111111,10.0,235.0,109.42017544264854,108.0,44.65068681391251,0.0,195.0,75.59593451619311,72.0,37.5926957726924,0.0,255.0,82.70238727648155,73.0,51.19626268048209,0.36126309899962517,133.29126595992975,110.89340723478585,9.889445860075815
1.5897263071895424,0.0,0.00544,5.0,255.0,104.91751429738562,100.0,47.95069201817908,3.0,255.0,78.35397263071896,71.0,42.87685784035862,0.0,255.0,52.593098958333336,43.0,39.571520268579995,0.8959291039471313,236.34719690788344,135.60668175206723,11.001105192531705
1.1560599458138345,0.0,0.003665347222222222,10.0,255.0,137.159940129971,136.0,52.058052457106484,0.0,245.0,107.28282525908945,103.0,48.880828105754325,0.0,255.0,99.5560296318751,91.0,51.476520825639454,0.5680149318430489,130.07492050243692,148.22790349619544,11.750351127057591
1.888360970719686,0.0,0.005320222222222222,9.0,255.0,123.58951432688693,125.0,51.207615915481725,0.0,254.0,94.87885844367403,98.0,45.32117091181814,0.0,255.0,80.78055688985422,82.0,41.5175954718133,0.5994373081461032,469.25858394481963,105.35776387113862,9.887154471369678
0.9914840552259638,0.0,0.005602236111111111,13.0,255.0,107.12669792072114,100.0,46.72087409835131,0.0,255.0,87.01905489127606,84.0,40.77949541829756,0.0,255.0,66.91029623587804,62.0,34.57744720677461,0.8395577911051048,241.35570557127113,109.19947883408386,9.944214078466151
0.9630873239436619,0.0,0.004930555555555555,3.0,255.0,122.81285070422535,117.0,48.48137159819738,0.0,255.0,106.66628169014085,110.0,47.31637552320597,0.0,255.0,74.72309014084507,66.0,44.37497448299574,0.44019923451022297,185.05184673680054,116.74480087677716,10.37767057634426
0.9776584936845137,0.0,0.004579791666666667,17.0,255.0,137.03837207539158,133.0,49.88789876042468,0.0,255.0,112.89966185992206,110.0,47.94826171025425,0.0,255.0,96.12440825486361,88.0,48.8387449664923,0.4394970097024635,208.74245582917612,115.1789191682323,10.37745250463261
0.7096926252276944,0.0,0.004124986111111111,7.0,255.0,107.66460156431503,106.0,37.61886929525813,0.0,255.0,88.38125717595008,96.0,38.37863581415881,0.0,255.0,65.91770679362557,63.0,33.291459253623856,0.6312673907789266,240.38403053325518,138.12156701731055,11.19403795704402
